"Gemeentecode","Gemeentenaam","Inwonertal","02-27-2020","02-28-2020","02-29-2020","03-01-2020","03-02-2020","03-03-2020","03-04-2020","03-05-2020","03-06-2020","03-07-2020","03-08-2020","03-09-2020","03-10-2020","03-11-2020","03-12-2020","03-13-2020","03-14-2020","03-15-2020","03-16-2020","03-17-2020","03-18-2020","03-19-2020","03-20-2020","03-21-2020","03-22-2020","03-23-2020","03-24-2020","03-25-2020","03-26-2020","03-27-2020","03-28-2020"
935,"Maastricht",121565,0,0,0,0,0,0,0,1,2,3,4,6,7,8,8,10,16,21,24,33,41,42,56,57,59,60,94,112,118,126,162
938,"Meerssen",18923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,8,8,8,8,10
944,"Mook en Middelaar",7806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,5,8
946,"Nederweert",17001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,7,7,7,7,8,9,11,14,18,21,24
957,"Roermond",58209,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,6,13,15,18,21,23,26,28,29,31,32
965,"Simpelveld",10516,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,5,5,5,5,7,8,10,10,11
971,"Stein",24961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4,5,5,6,9,24,24,28,29,31
981,"Vaals",10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,6
983,"Venlo",101603,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,8,12,21,24,33,33,35,40,47,54,67,71
984,"Venray",43326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,9,10,13,17,20,21,26
986,"Voerendaal",12452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,5,6,7,7,8
988,"Weert",49842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,12,17,24,28,27,36
994,"Valkenburg aan de Geul",16470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,4,8,9,10,11,12
995,"Lelystad",77893,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,8,10,12,13,15,15,19,21,24,26,27,29,31
1507,"Horst aan de Maas",42291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,8,8,10,11,13,13,16,17,18,20,25,27
1509,"Oude IJsselstreek",39473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,4,4,5,5,7
1525,"Teylingen",37061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,7,7,7,8,10,11,11
1581,"Utrechtse Heuvelrug",49515,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,5,6,8,8,8,11,14,14,15,17,22,25
1586,"Oost Gelre",29704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,6,6,7,8
1598,"Koggenland",22738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,4,5,6,6,9
1621,"Lansingerland",61601,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4,4,5,5,7,10,13,14,16,20,20,24,25,28,34,45
