GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM0310,De Bilt,Nee,42824,Utrecht,,,,,,,,2,3,6,6,6,6,10,11,11,11,12,13,15,16,16,18,42.00,2
GM0845,Sint-Michielsgestel,Nee,28991,Noord-Brabant,,,,,,,,1,2,3,5,5,5,5,5,5,6,6,8,8,10,10,12,41.40,2
GM0848,Son en Breugel,Nee,16904,Noord-Brabant,,,,,,,,,,,,,,1,1,2,2,2,4,4,4,5,7,41.40,2
GM0946,Nederweert,Nee,17001,Limburg,,,,,,,,,,,,,,,,1,3,3,3,5,7,7,7,41.20,0
GM0852,Waterland,Nee,17315,Noord-Holland,,,,,,,,,,,1,1,1,1,1,1,1,2,3,3,4,7,7,40.40,0
GM0762,Deurne,Nee,32362,Noord-Brabant,,,,,,,,,,,1,1,1,3,3,3,3,4,5,8,8,10,13,40.20,3
GM1896,Zwartewaterland,Nee,22503,Overijssel,,,,,,,,,,,,,,,,2,2,2,2,4,4,5,9,40.00,4
GM1706,Cranendonck,Nee,20440,Noord-Brabant,,,,,,,,,,,,,,1,1,2,2,2,2,5,6,6,8,39.10,2
GM0828,Oss,Nee,91451,Noord-Brabant,,,,,1,1,1,1,1,1,1,1,1,2,3,3,4,5,11,14,20,26,35,38.30,9
GM0109,Coevorden,Nee,35483,Drenthe,,,,1,2,2,2,3,3,7,7,9,11,11,11,11,11,11,11,11,12,12,13,36.60,1
GM0415,Landsmeer,Nee,11488,Noord-Holland,,,,,,,,,,1,1,1,1,1,2,2,2,3,3,3,3,3,4,34.80,1
GM1959,Altena,Nee,55386,Noord-Brabant,,,,1,1,4,3,4,4,4,4,4,4,4,5,8,9,10,12,12,15,19,19,34.30,0
GM0777,Etten-Leur,Nee,43774,Noord-Brabant,,,,,,,,,,,1,1,3,5,5,6,7,8,10,12,13,14,15,34.30,1
GM0296,Wijchen,Nee,40951,Gelderland,,,,,,,,,,,1,1,1,1,2,3,3,4,5,6,8,8,14,34.20,6
GM1774,Dinkelland,Nee,26350,Overijssel,,,,,,,,,,2,2,2,2,2,1,3,4,4,5,5,6,8,9,34.20,1
GM0321,Houten,Nee,49911,Utrecht,,,,,1,1,1,9,9,13,13,13,13,13,13,13,13,13,13,13,14,17,17,34.10,0
GM0233,Ermelo,Nee,26858,Gelderland,,,,,,,,,,,,1,1,1,3,4,5,7,8,8,8,8,9,33.50,1
GM0523,Hardinxveld-Giessendam,Nee,18051,Zuid-Holland,,,,,,,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,33.20,1
GM0779,Geertruidenberg,Nee,21515,Noord-Brabant,,,,,,,,,,,,,,1,1,1,1,1,3,5,7,7,7,32.50,0
GM0879,Zundert,Nee,21612,Noord-Brabant,,,,,,,,,,,1,1,1,2,2,3,3,3,3,4,6,6,7,32.40,1
GM0986,Voerendaal,Nee,12452,Limburg,,,,,,,,,,,,,,,,,,,,1,3,3,4,32.10,1
GM0786,Grave,Nee,12483,Noord-Brabant,,,,,,,,,,,,,,,,,,,,0,1,2,4,32.00,2
GM1734,Overbetuwe,Nee,47543,Gelderland,,,,,,,,,,,,,,,,,4,6,8,9,9,11,15,31.60,4
GM0770,Eersel,Nee,19110,Noord-Brabant,,,,,,,,,,,,,,,1,1,2,2,2,3,4,4,6,31.40,2
